127.0.0.1 - - [09/May/2023:10:39:13 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/May/2023:10:39:15 +0900] "GET /chapter03_javascript/01_basic/Ex02_%EA%B8%B0%EB%B3%B8%EC%9E%90%EB%A3%8C%ED%98%95.html HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [09/May/2023:10:39:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/May/2023:10:40:52 +0900] "GET /chapter03_javascript/01_basic/Ex02_%EA%B8%B0%EB%B3%B8%EC%9E%90%EB%A3%8C%ED%98%95.html HTTP/1.1" 200 972
0:0:0:0:0:0:0:1 - - [09/May/2023:10:40:53 +0900] "GET /chapter03_javascript/01_basic/Ex02_%EA%B8%B0%EB%B3%B8%EC%9E%90%EB%A3%8C%ED%98%95.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:40:53 +0900] "GET /chapter03_javascript/01_basic/Ex02_%EA%B8%B0%EB%B3%B8%EC%9E%90%EB%A3%8C%ED%98%95.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:40:53 +0900] "GET /chapter03_javascript/01_basic/Ex02_%EA%B8%B0%EB%B3%B8%EC%9E%90%EB%A3%8C%ED%98%95.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:40:54 +0900] "GET /chapter03_javascript/01_basic/Ex02_%EA%B8%B0%EB%B3%B8%EC%9E%90%EB%A3%8C%ED%98%95.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:47:36 +0900] "GET /chapter03_javascript/01_basic/Ex02_%EA%B8%B0%EB%B3%B8%EC%9E%90%EB%A3%8C%ED%98%95.html HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [09/May/2023:10:47:36 +0900] "GET /chapter03_javascript/01_basic/Ex02_%EA%B8%B0%EB%B3%B8%EC%9E%90%EB%A3%8C%ED%98%95.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:47:36 +0900] "GET /chapter03_javascript/01_basic/Ex02_%EA%B8%B0%EB%B3%B8%EC%9E%90%EB%A3%8C%ED%98%95.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:47:36 +0900] "GET /chapter03_javascript/01_basic/Ex02_%EA%B8%B0%EB%B3%B8%EC%9E%90%EB%A3%8C%ED%98%95.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:47:37 +0900] "GET /chapter03_javascript/01_basic/Ex02_%EA%B8%B0%EB%B3%B8%EC%9E%90%EB%A3%8C%ED%98%95.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:47:37 +0900] "GET /chapter03_javascript/01_basic/Ex02_%EA%B8%B0%EB%B3%B8%EC%9E%90%EB%A3%8C%ED%98%95.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:10:47:37 +0900] "GET /chapter03_javascript/01_basic/Ex02_%EA%B8%B0%EB%B3%B8%EC%9E%90%EB%A3%8C%ED%98%95.html HTTP/1.1" 304 -
