0:0:0:0:0:0:0:1 - - [08/May/2023:09:53:13 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:53:13 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:53:13 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:53:13 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:53:13 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:53:15 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [08/May/2023:09:53:15 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:53:15 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:53:15 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:53:16 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:53:16 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:53:16 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:53:16 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:53:16 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:53:16 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:53:17 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:53:17 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:53:17 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:53:17 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:53:23 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [08/May/2023:09:53:23 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:53:40 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 200 562
0:0:0:0:0:0:0:1 - - [08/May/2023:09:53:40 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:53:55 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [08/May/2023:09:53:55 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:54:47 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [08/May/2023:09:54:47 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:54:48 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:54:48 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:58:30 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:58:30 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:58:30 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:58:32 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:58:32 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:58:33 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2023:09:58:34 +0900] "GET /chapter02_css/Ex30_table.html HTTP/1.1" 304 -
