127.0.0.1 - - [03/May/2023:10:02:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/May/2023:10:02:40 +0900] "GET /chapter01_html/Ex13_img_tag.html HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [03/May/2023:10:02:40 +0900] "GET /images/google.jpg HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [03/May/2023:10:02:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/May/2023:10:03:16 +0900] "GET /chapter01_html/Ex13_img_tag.html HTTP/1.1" 200 2313
0:0:0:0:0:0:0:1 - - [03/May/2023:10:03:17 +0900] "GET /images/google.jpg HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [03/May/2023:10:03:17 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/May/2023:10:03:55 +0900] "GET /chapter01_html/Ex13_img_tag.html HTTP/1.1" 200 2312
0:0:0:0:0:0:0:1 - - [03/May/2023:10:03:55 +0900] "GET /images/google.jpg HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [03/May/2023:10:03:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/May/2023:10:04:17 +0900] "GET /chapter01_html/Ex13_img_tag.html HTTP/1.1" 200 2313
0:0:0:0:0:0:0:1 - - [03/May/2023:10:04:17 +0900] "GET /images/google.jpg HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [03/May/2023:10:04:17 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/May/2023:10:04:49 +0900] "GET /chapter01_html/Ex13_img_tag.html HTTP/1.1" 200 2338
0:0:0:0:0:0:0:1 - - [03/May/2023:10:04:49 +0900] "GET /images/google.jpg HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [03/May/2023:10:04:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/May/2023:10:05:04 +0900] "GET /chapter01_html/Ex13_img_tag.html HTTP/1.1" 200 2339
0:0:0:0:0:0:0:1 - - [03/May/2023:10:06:33 +0900] "GET /chapter01_html/Ex13_img_tag.html HTTP/1.1" 200 2358
0:0:0:0:0:0:0:1 - - [03/May/2023:10:06:33 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/May/2023:10:16:20 +0900] "GET /chapter01_html/Ex14_table1.html HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [03/May/2023:10:16:39 +0900] "GET /chapter01_html/Ex14_table1.html HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [03/May/2023:10:38:19 +0900] "GET /chapter01_html/Ex14_table1.html HTTP/1.1" 200 1134
0:0:0:0:0:0:0:1 - - [03/May/2023:10:42:01 +0900] "GET /chapter01_html/Ex14_table1.html HTTP/1.1" 200 1385
0:0:0:0:0:0:0:1 - - [03/May/2023:10:43:00 +0900] "GET /chapter01_html/Ex14_table1.html HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [03/May/2023:10:46:37 +0900] "GET /chapter01_html/Ex14_table1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2023:10:46:41 +0900] "GET /chapter01_html/Ex14_table1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2023:10:46:42 +0900] "GET /chapter01_html/Ex14_table1.html HTTP/1.1" 200 1762
0:0:0:0:0:0:0:1 - - [03/May/2023:10:46:42 +0900] "GET /chapter01_html/Ex14_table1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2023:10:47:28 +0900] "GET /chapter01_html/Ex14_table1.html HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [03/May/2023:10:48:53 +0900] "GET /chapter01_html/Ex14_table1.html HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [03/May/2023:10:49:10 +0900] "GET /chapter01_html/Ex14_table1.html HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [03/May/2023:10:49:10 +0900] "GET /chapter01_html/Ex14_table1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2023:10:49:12 +0900] "GET /chapter01_html/Ex14_table1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2023:10:49:13 +0900] "GET /chapter01_html/Ex14_table1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2023:10:49:14 +0900] "GET /chapter01_html/Ex14_table1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2023:10:49:14 +0900] "GET /chapter01_html/Ex14_table1.html HTTP/1.1" 304 -
